timestamp,exchange,event_type,route,surface_perc,real_perc,net_perc,filled_fraction
2026-05-19T19:58:56.748,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
2026-05-19T19:58:56.799,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.20165952,,,
2026-05-19T19:58:56.851,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
2026-05-19T19:58:57.063,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.38162577,,,0.3323
2026-05-19T19:58:57.440,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.08896797,,,
2026-05-19T19:58:58.073,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T19:58:59.174,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.59422234,0.59422234,0.19422234,
2026-05-19T19:58:59.957,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.38162577,,,0.2358
2026-05-19T19:59:00.007,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.18652057,,,
2026-05-19T19:59:00.562,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T19:59:02.201,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
2026-05-19T19:59:02.960,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T19:59:03.266,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
2026-05-19T19:59:03.629,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T19:59:03.680,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
2026-05-19T19:59:03.787,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T19:59:05.980,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.69236304,0.69236304,0.29236304,
2026-05-19T19:59:05.980,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.44642857,,,0.3472
2026-05-19T19:59:06.462,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T19:59:06.462,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.05482456,,,
2026-05-19T19:59:07.000,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.49608163,0.49608163,0.09608163,
2026-05-19T19:59:07.103,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.20165952,,,
2026-05-19T19:59:07.769,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
2026-05-19T19:59:08.048,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.34852757,,,0.3472
2026-05-19T19:59:08.155,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.25062657,,,
2026-05-19T19:59:08.473,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.34852757,,,0.3472
2026-05-19T19:59:08.790,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.03591533,,,
2026-05-19T19:59:08.898,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.34852757,,,0.3472
2026-05-19T19:59:09.276,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.13351135,,,
2026-05-19T19:59:10.736,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.32040011,0.32040011,-0.07959989,
2026-05-19T19:59:10.837,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.22271715,,,
2026-05-19T19:59:10.888,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.32040011,0.32040011,-0.07959989,
2026-05-19T19:59:10.992,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.14197343,,,
2026-05-19T19:59:11.410,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.54011083,,,0.2451
2026-05-19T19:59:11.461,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.15042048,,,
2026-05-19T19:59:14.647,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.00000000,,,
2026-05-19T19:59:25.559,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,,,0.4078
