timestamp,exchange,mean_ma,dispersion,route_count
2026-05-19T15:43:50,binance,-0.00730065,0.02685369,16
2026-05-19T15:43:50,kraken,-0.02394893,0.05776503,44
2026-05-19T15:43:50,kucoin,-0.06663802,0.00000000,1
